
150.50,365,2,75.25,1.5,3,14,3,0,1,1,0
2500.00,45,8,300.00,0.2,1,2,1,1,2,1,1
75.25,1200,1,85.50,12.5,5,16,5,0,3,1,0
1850.75,30,15,125.30,0.1,2,3,7,1,4,0,1
45.00,800,3,60.00,4.0,8,11,2,0,1,1,0
3200.00,10,20,200.00,0.05,1,1,6,1,2,1,1
95.75,600,1,95.75,24.0,6,19,4,0,3,1,0
125.50,1500,4,110.25,2.5,4,9,1,0,1,1,0
500.00,100,12,180.50,0.3,3,23,7,1,4,1,1
65.25,900,2,70.00,8.0,7,15,3,0,2,1,0
1200.00,25,18,150.00,0.1,1,4,2,0,1,0,1
35.75,2000,1,55.20,36.0,9,12,5,0,3,1,0
750.50,200,10,220.75,0.4,2,22,6,1,4,1,1
85.00,1000,3,90.50,6.0,5,17,4,0,2,1,0
2800.00,15,25,300.50,0.05,1,5,1,1,1,1,1
25.00,450,1,65.30,2.0,8,10,2,0,1,1,0
4500.00,5,30,450.00,0.02,1,3,4,0,2,1,1
185.25,720,3,92.15,5.5,4,13,6,1,3,1,0
89.50,1800,2,78.25,18.0,6,20,1,0,2,1,0
1750.00,60,12,210.75,0.4,2,1,3,0,4,1,1
55.75,950,1,88.40,15.0,7,16,5,0,1,1,0
320.00,180,6,165.50,1.2,3,11,4,0,3,1,0
175.80,1350,4,95.20,3.8,5,18,2,0,2,1,0
2200.00,20,22,280.00,0.08,1,2,7,1,4,0,1
42.30,1100,1,68.90,28.5,9,14,3,0,1,1,0
680.25,250,8,190.35,0.6,2,22,6,1,3,1,0
125.00,850,2,105.50,7.2,4,9,1,0,2,1,0
3800.00,8,35,420.00,0.03,1,4,5,0,4,1,1
78.90,1650,3,82.30,12.0,6,17,4,0,1,1,0
95.50,380,1,95.50,22.0,8,12,2,0,3,1,0
1450.75,75,14,185.20,0.3,2,23,7,1,2,1,1
38.25,2200,1,59.80,45.0,9,15,3,0,1,1,0
275.00,520,5,142.75,2.8,3,19,6,1,4,1,0
165.50,1450,2,98.75,9.5,5,8,1,0,2,1,0
5200.00,3,45,650.00,0.01,1,1,4,0,3,0,1
52.75,1950,1,74.20,35.0,7,13,5,0,1,1,0
890.00,150,11,205.80,0.5,2,21,2,0,4,1,1
110.25,680,3,87.50,6.8,4,16,7,1,2,1,0
225.75,1820,4,112.35,4.2,6,10,3,0,3,1,0
3450.00,12,28,380.50,0.06,1,3,1,0,4,1,1
67.50,1575,2,79.25,14.5,8,18,5,0,1,1,0
485.25,95,9,175.90,0.8,3,20,6,1,2,1,0
155.00,925,1,135.75,19.0,5,11,4,0,3,1,0
1985.50,35,16,248.20,0.2,2,2,7,1,4,0,1
44.75,1725,1,62.40,32.0,9,14,2,0,1,1,0
755.00,220,7,195.25,1.1,3,22,3,0,2,1,0
88.25,1125,3,91.80,8.5,6,17,1,0,1,1,0
2750.00,18,24,325.75,0.07,1,4,5,0,4,1,1
125.75,465,2,118.90,3.5,4,15,6,1,3,1,0
295.50,1385,5,148.25,5.0,7,19,4,0,2,1,0
